"term_key","en","nl","definition","translate"
"auth.break_glass","Break-glass account","Noodtoegangsaccount","A local administrator account that remains usable when SSO fails.","yes"
"auth.mfa","Multi-factor authentication","Meervoudige authenticatie","A second authentication factor. The abbreviation MFA is kept in all languages.","yes"
"auth.totp","Authenticator app code","Authenticator-appcode","Time-based one-time password from an authenticator app.","yes"
"auth.recovery_code","Recovery code","Herstelcode","Single-use code that replaces the second factor when it is unavailable.","yes"
"auth.api_token","API token","API-token","A credential used by machines instead of a browser session.","yes"
"sec.credential","Credential","Credential","Stored authentication material for a managed system. Deliberately untranslated: it names a specific Velnox object.","no"
"sec.secret","Secret","Secret","Encrypted material inside a credential.","no"
"sec.rotation","Credential rotation","Credentialrotatie","Replacing a stored password with a newly generated one.","yes"
"sec.master_key","Master encryption key","Hoofdversleutelingssleutel","The key from which all wrapping keys are derived. Losing it makes stored credentials unrecoverable.","yes"
"sec.fingerprint","Certificate fingerprint","Certificaatvingerafdruk","SHA-256 hash of a TLS certificate; pinned per endpoint.","yes"
"sec.host_key","SSH host key","SSH-hostsleutel","Public key identifying an SSH server; pinned per node.","yes"
"sec.audit_event","Audit event","Auditgebeurtenis","An immutable record of an action.","yes"
"sec.redaction","Redaction","Redactie","Removal of secret material before logging or storage.","yes"
"job.job","Job","Job","An asynchronous unit of work with its own state and history.","no"
"job.step","Step","Stap","One action within a job.","yes"
"job.event","Event","Gebeurtenis","A structured progress record emitted by a job.","yes"
"job.queued","Queued","In wachtrij","Accepted but not yet started.","yes"
"job.preflight","Preflight","Preflight","Checks executed before any change is made.","no"
"job.running","Running","Actief","Currently executing.","yes"
"job.validating","Validating","Valideren","Verifying the result of the executed work.","yes"
"job.waiting_approval","Waiting for approval","Wacht op goedkeuring","Paused until an authorised user decides.","yes"
"job.succeeded","Succeeded","Geslaagd","Completed and verified.","yes"
"job.partially_succeeded","Partially succeeded","Deels geslaagd","Some targets succeeded and others did not.","yes"
"job.failed","Failed","Mislukt","Did not complete.","yes"
"job.rolled_back","Rolled back","Teruggedraaid","Changes were reverted.","yes"
"job.cancelled","Cancelled","Geannuleerd","Stopped on request at a safe boundary.","yes"
"job.approval","Approval","Goedkeuring","An authorised decision to continue a paused job.","yes"
"job.four_eyes","Four-eyes approval","Vierogenprincipe","Approval by a different person than the one who submitted the job.","yes"
"auto.playbook","Playbook","Playbook","A versioned data definition of a workflow.","no"
"auto.step_registry","Step registry","Stapregister","The catalogue of executable steps a playbook may reference.","yes"
"auto.guard","Guard","Guard","A precondition evaluated between steps that can block execution.","no"
"auto.discovery","Discovery","Discovery","Reading the current state of a managed system.","no"
"auto.inventory","Inventory","Inventaris","The stored result of discovery.","yes"
"auto.concurrency_budget","Concurrency budget","Gelijktijdigheidslimiet","The maximum number of targets that may be worked on simultaneously.","yes"
"auto.canary","Canary node","Canary-node","The first node upgraded, after which the run pauses for confirmation.","yes"
"upd.update","Update","Update","A newer package version available for installation.","no"
"upd.security_update","Security update","Beveiligingsupdate","An update that fixes a security issue.","yes"
"upd.update_policy","Update policy","Updatebeleid","Rules governing when and how updates are applied.","yes"
"upd.maintenance_window","Maintenance window","Onderhoudsvenster","A recurring period during which changes may be made.","yes"
"upd.rolling_update","Rolling update","Rolling update","Updating cluster nodes one group at a time to preserve availability.","no"
"upg.major_upgrade","Major upgrade","Major upgrade","An upgrade across a major version boundary, such as PVE 8 to 9.","no"
"upg.upgrade_plan","Upgrade plan","Upgradeplan","The full set of targets and strategy for a major upgrade.","yes"
"upg.preflight_check","Preflight check","Preflight-controle","A single check executed before an upgrade.","yes"
"upg.pass","Pass","Geslaagd","Check succeeded.","yes"
"upg.blocker","Blocker","Blokkade","A finding that prevents the upgrade from proceeding.","yes"
"upg.remediation","Remediation","Herstelactie","A defined corrective action for a specific finding.","yes"
"upg.change_set","Change set","Wijzigingsset","The exact set of changes a remediation will make, shown before approval.","yes"
"upg.automatic_safe","Automatically safe","Automatisch veilig","A remediation that may run without human approval.","yes"
"upg.recheck","Re-check","Hercontrole","Running preflight again after remediation.","yes"
"upg.post_validation","Post-upgrade validation","Validatie na upgrade","Checks confirming the upgrade succeeded.","yes"
"ceph.ceph_cluster","Ceph cluster","Ceph-cluster","The Ceph storage cluster embedded in a Proxmox VE cluster.","yes"
"ceph.monitor","Ceph monitor","Ceph-monitor","Ceph daemon maintaining cluster state and quorum. Abbreviated MON.","yes"
"ceph.manager","Ceph manager","Ceph-manager","Ceph daemon providing management and metrics. Abbreviated MGR.","yes"
"ceph.osd","Ceph OSD","Ceph-OSD","Object storage daemon owning one storage device.","no"
"ceph.mds","Ceph MDS","Ceph-MDS","Metadata server for CephFS.","no"
"ceph.pg","Placement group","Placement group","Unit of data distribution in Ceph. Abbreviated PG.","no"
"ceph.noout","noout flag","noout-vlag","Ceph flag preventing automatic rebalancing while a node is down for maintenance.","no"
"ceph.health_ok","HEALTH_OK","HEALTH_OK","Literal Ceph status value. Never translated: it is daemon output.","no"
"ceph.require_osd_release","require-osd-release","require-osd-release","Ceph setting recording the minimum OSD release; raised after an upgrade completes.","no"
"mig.migration","Migration","Migratie","Moving a workload from a source hypervisor to Proxmox VE.","yes"
"mig.source","Migration source","Migratiebron","A VMware or Hyper-V system to migrate from.","yes"
"mig.target","Migration target","Migratiedoel","The Proxmox cluster, node and storage to migrate to.","yes"
"mig.compatibility_report","Compatibility report","Compatibiliteitsrapport","The assessment of what will and will not translate cleanly.","yes"
"mig.operator_assisted","Operator-assisted","Met handmatige stap","A step that requires a human action and never reports success on its own.","yes"
"mig.live_migration","Live migration","Live migratie","Moving a running workload between nodes without shutting it down.","yes"
"ui.dashboard","Dashboard","Dashboard","Overview landing page.","no"
"ui.alert","Alert","Melding","A raised condition requiring attention.","yes"
"ui.notification","Notification","Notificatie","An outbound message about an event.","yes"
"ui.report","Report","Rapport","A generated document summarising a workflow.","yes"
"ui.settings","Settings","Instellingen","Configuration screens.","yes"
"ui.setup_wizard","Setup wizard","Installatiewizard","First-run flow that creates the first administrator.","yes"
"ui.tenant_selector","Tenant selector","Tenantkiezer","Top-bar control for switching the active tenant context.","yes"
"ui.bulk_action","Bulk action","Bulkactie","An action applied to multiple selected rows.","yes"
"ui.detail_drawer","Detail drawer","Detailpaneel","Side panel showing details of a selected row.","yes"
